request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_40,332.46,not_affordable,not_recommended,none,,none,"No eligible payment method from the user's accepted list is safe within the 90-day forecast without breaking the 1,500.00 EUR minimum balance."
request_41,7915614.9,affordable_later,wait,2025-11-14:38760000,2025-11-14,none,"Wait and pay the full IDR 38,760,000.00 on 2025-11-14, the earliest date the forecast shows it as safe; paying sooner would breach the minimum balance."
request_42,52100.0,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,"Pay INR 52,100.00 on 2026-01-05. This keeps the balance at or above the INR 113,100.00 minimum through the 90-day forecast."
request_43,9868266.98,affordable_later,wait,2024-11-13:43339000,2024-11-13,none,"Wait and pay the full IDR 43,339,000.00 on 2024-11-13, the earliest date the forecast shows it as safe; paying sooner would breach the minimum balance."
request_44,29256.06,not_affordable,not_recommended,none,,none,"No eligible payment method from the user's accepted list is safe within the 90-day forecast without breaking the 82,900.00 INR minimum balance."
request_45,3614476.62,affordable_later,wait,2026-09-13:21983000,2026-09-13,none,"Wait and pay the full IDR 21,983,000.00 on 2026-09-13, the earliest date the forecast shows it as safe; paying sooner would breach the minimum balance."
request_46,36858.4,affordable_with_plan,partial_payment,2024-12-03:36858.40|2024-12-15:12591.60,2024-12-15,none,"Pay INR 36,858.40 now and the remaining INR 12,591.60 on 2024-12-15, once projected cash flow safely covers it."
request_47,38114000.0,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,"Pay IDR 38,114,000.00 on 2025-05-05. This keeps the balance at or above the IDR 30,049,000.00 minimum through the 90-day forecast."
request_48,45700.0,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,"Pay INR 45,700.00 on 2026-07-25. This keeps the balance at or above the INR 71,300.00 minimum through the 90-day forecast."
request_49,13194094.79,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-04-13,none,"Use the 3-payment installment option (payment_option_133) starting 2024-03-18; each payment keeps the balance above the IDR 20,275,700.00 minimum."
request_50,43900.0,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,"Pay INR 43,900.00 on 2025-08-06. This keeps the balance at or above the INR 99,700.00 minimum through the 90-day forecast."
request_51,2191000.0,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,"Pay IDR 2,191,000.00 on 2026-01-03. This keeps the balance at or above the IDR 7,811,000.00 minimum through the 90-day forecast."
request_52,23304.11,affordable_later,wait,2024-06-14:28870,2024-06-14,none,"Wait and pay the full INR 28,870.00 on 2024-06-14, the earliest date the forecast shows it as safe; paying sooner would breach the minimum balance."
request_53,569.39,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-13,none,"Use the 3-payment installment option (payment_option_145) starting 2025-11-21; each payment keeps the balance above the USD 2,100.00 minimum."
request_54,2064.79,not_affordable,not_recommended,none,,none,"No eligible payment method from the user's accepted list is safe within the 90-day forecast without breaking the 37,000.00 ZAR minimum balance."
request_55,125909.04,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-08-13,reduce_to:event_5167:2750|stop:event_5101,"Use the 3-payment installment option (payment_option_151) starting 2026-06-11; each payment keeps the balance above the INR 124,300.00 minimum."
request_56,623.64,affordable_with_plan,partial_payment,2025-02-03:623.64|2025-02-14:257.92,2025-02-14,none,"Pay USD 623.64 now and the remaining USD 257.92 on 2025-02-14, once projected cash flow safely covers it."
request_57,12657.18,affordable_later,wait,2026-06-13:61446,2026-06-13,none,"Wait and pay the full ZAR 61,446.00 on 2026-06-13, the earliest date the forecast shows it as safe; paying sooner would breach the minimum balance."
request_58,16226000.0,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,"Pay IDR 16,226,000.00 on 2024-12-07. This keeps the balance at or above the IDR 14,433,900.00 minimum through the 90-day forecast."
request_59,140600.0,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Use the 3-payment installment option (payment_option_163) starting 2025-05-07; each payment keeps the balance above the INR 132,600.00 minimum."
request_60,135.49,affordable_later,wait,2026-01-16:199.89,2026-01-16,none,"Wait and pay the full USD 199.89 on 2026-01-16, the earliest date the forecast shows it as safe; paying sooner would breach the minimum balance."
request_61,29062.0,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use the 3-payment installment option (payment_option_169) starting 2024-03-17; each payment keeps the balance above the ZAR 36,700.00 minimum."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"Pay USD 404.23 on 2025-08-05. This keeps the balance at or above the USD 1,300.00 minimum through the 90-day forecast."
request_63,39906.07,affordable_with_plan,partial_payment,2026-07-07:39906.07|2026-09-13:303993.93,2026-09-13,none,"Pay INR 39,906.07 now and the remaining INR 303,993.93 on 2026-09-13, once projected cash flow safely covers it."
request_64,40239.82,affordable_with_plan,installments,2024-06-11:22082.67|2024-07-12:22082.67|2024-08-12:22082.67,2024-07-14,none,"Use the 3-payment installment option (payment_option_177) starting 2024-06-11; each payment keeps the balance above the INR 36,100.00 minimum."
request_65,7027.73,not_affordable,not_recommended,none,,none,"No eligible payment method from the user's accepted list is safe within the 90-day forecast without breaking the 15,500.00 ZAR minimum balance."
request_66,22200.0,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,"Pay INR 22,200.00 on 2026-04-03. This keeps the balance at or above the INR 80,700.00 minimum through the 90-day forecast."
request_67,332.2,affordable_later,wait,2024-09-13:2094,2024-09-13,none,"Wait and pay the full USD 2,094.00 on 2024-09-13, the earliest date the forecast shows it as safe; paying sooner would breach the minimum balance."
request_68,1361.56,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-03-24,none,"Use the 3-payment installment option (payment_option_187) starting 2025-02-14; each payment keeps the balance above the USD 1,500.00 minimum."
request_69,529.1,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,Pay EUR 529.10 on 2026-01-04. This keeps the balance at or above the EUR 700.00 minimum through the 90-day forecast.
request_70,49475.42,affordable_later,wait,2025-02-16:243900,2025-02-16,none,"Wait and pay the full INR 243,900.00 on 2025-02-16, the earliest date the forecast shows it as safe; paying sooner would breach the minimum balance."
request_71,77785.41,not_affordable,not_recommended,none,,none,"No eligible payment method from the user's accepted list is safe within the 90-day forecast without breaking the 8,884,800.00 IDR minimum balance."
request_72,11330.0,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,"Pay ZAR 11,330.00 on 2026-07-05. This keeps the balance at or above the ZAR 12,200.00 minimum through the 90-day forecast."
request_73,71400.0,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,"Pay INR 71,400.00 on 2023-01-20. This keeps the balance at or above the INR 103,200.00 minimum through the 90-day forecast."
request_74,5010.0,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,"Pay ZAR 5,010.00 on 2025-08-04. This keeps the balance at or above the ZAR 21,900.00 minimum through the 90-day forecast."
request_75,26058.4,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,,reduce_to:event_6998:991.10,"Use the 3-payment installment option (payment_option_208) starting 2026-04-09; each payment keeps the balance above the ZAR 39,000.00 minimum."
request_76,116.36,not_affordable,not_recommended,none,,none,"No eligible payment method from the user's accepted list is safe within the 90-day forecast without breaking the 1,800.00 USD minimum balance."
request_77,60700.0,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,"Pay INR 60,700.00 on 2025-11-05. This keeps the balance at or above the INR 82,200.00 minimum through the 90-day forecast."
request_78,0.0,not_affordable,not_recommended,none,,none,"No eligible payment method from the user's accepted list is safe within the 90-day forecast without breaking the 55,200.00 INR minimum balance."
request_79,664.46,not_affordable,not_recommended,none,2024-11-13,none,"No eligible payment method from the user's accepted list is safe within the 90-day forecast without breaking the 1,000.00 EUR minimum balance."
request_80,37525.12,not_affordable,not_recommended,none,,none,"No eligible payment method from the user's accepted list is safe within the 90-day forecast without breaking the 121,300.00 INR minimum balance."
request_81,2076.0,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,"Pay USD 2,076.00 on 2026-07-03. This keeps the balance at or above the USD 1,600.00 minimum through the 90-day forecast."
request_82,308.88,affordable_later,wait,2025-02-16:1405.20,2025-02-16,none,"Wait and pay the full USD 1,405.20 on 2025-02-16, the earliest date the forecast shows it as safe; paying sooner would breach the minimum balance."
request_83,0.0,not_affordable,not_recommended,none,,none,"No eligible payment method from the user's accepted list is safe within the 90-day forecast without breaking the 37,800.00 INR minimum balance."
request_84,29848.22,affordable_later,wait,2026-06-13:95400,2026-06-13,none,"Wait and pay the full INR 95,400.00 on 2026-06-13, the earliest date the forecast shows it as safe; paying sooner would breach the minimum balance."
request_85,836976.74,not_affordable,not_recommended,none,,none,"No eligible payment method from the user's accepted list is safe within the 90-day forecast without breaking the 6,396,300.00 IDR minimum balance."
request_86,46300.0,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,"Pay INR 46,300.00 on 2025-08-03. This keeps the balance at or above the INR 84,900.00 minimum through the 90-day forecast."
request_87,0.0,not_affordable,not_recommended,none,,none,"No eligible payment method from the user's accepted list is safe within the 90-day forecast without breaking the 185,900.00 INR minimum balance."
request_88,10497.62,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-07-14,none,"Use the 3-payment installment option (payment_option_245) starting 2024-06-14; each payment keeps the balance above the ZAR 25,800.00 minimum."
request_89,9226703.57,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-11-14,none,"Use the 3-payment installment option (payment_option_248) starting 2025-11-18; each payment keeps the balance above the IDR 12,534,700.00 minimum."
request_90,2560.0,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,"Pay ZAR 2,560.00 on 2026-07-06. This keeps the balance at or above the ZAR 7,600.00 minimum through the 90-day forecast."
request_91,286.92,affordable_later,wait,2024-11-13:1927.20,2024-11-13,none,"Wait and pay the full EUR 1,927.20 on 2024-11-13, the earliest date the forecast shows it as safe; paying sooner would breach the minimum balance."
request_92,34034.0,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,"Pay ZAR 34,034.00 on 2025-02-05. This keeps the balance at or above the ZAR 28,100.00 minimum through the 90-day forecast."
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,"Pay USD 1,729.20 on 2026-04-07. This keeps the balance at or above the USD 1,900.00 minimum through the 90-day forecast."
request_94,572.0,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Pay EUR 572.00 on 2024-12-04. This keeps the balance at or above the EUR 600.00 minimum through the 90-day forecast.
request_95,4013.74,not_affordable,not_recommended,none,,none,"No eligible payment method from the user's accepted list is safe within the 90-day forecast without breaking the 145,500.00 INR minimum balance."
request_96,77234.02,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-01-14,none,"Use the 3-payment installment option (payment_option_269) starting 2026-01-10; each payment keeps the balance above the INR 56,500.00 minimum."
request_97,1833.87,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-03-15,none,"Use the 3-payment installment option (payment_option_272) starting 2024-03-19; each payment keeps the balance above the ZAR 29,700.00 minimum."
request_98,0.0,not_affordable,not_recommended,none,,none,"No eligible payment method from the user's accepted list is safe within the 90-day forecast without breaking the 30,000.00 ZAR minimum balance."
request_99,16890.9,affordable_now,full_payment,2026-07-04:18062,2026-07-04,reduce_to:event_9232:1065.90,"Pay ZAR 18,062.00 on 2026-07-04. This keeps the balance at or above the ZAR 49,100.00 minimum through the 90-day forecast."
request_100,25888.98,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-14,none,"Use the 3-payment installment option (payment_option_281) starting 2024-06-13; each payment keeps the balance above the ZAR 32,500.00 minimum."
request_101,143500.0,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,"Pay INR 143,500.00 on 2025-11-03. This keeps the balance at or above the INR 187,400.00 minimum through the 90-day forecast."
request_102,1716.0,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,Use the 3-payment installment option (payment_option_287) starting 2026-04-05; each payment keeps the balance above the EUR 900.00 minimum.
request_103,7821.76,not_affordable,not_recommended,none,,none,"No eligible payment method from the user's accepted list is safe within the 90-day forecast without breaking the 125,500.00 INR minimum balance."
request_104,4614.57,not_affordable,not_recommended,none,,none,"No eligible payment method from the user's accepted list is safe within the 90-day forecast without breaking the 24,700.00 ZAR minimum balance."
request_105,51553.55,affordable_later,wait,2026-06-14:53500,2026-06-14,none,"Wait and pay the full INR 53,500.00 on 2026-06-14, the earliest date the forecast shows it as safe; paying sooner would breach the minimum balance."
request_106,440.12,affordable_later,wait,2025-02-16:2207.70,2025-02-16,none,"Wait and pay the full EUR 2,207.70 on 2025-02-16, the earliest date the forecast shows it as safe; paying sooner would breach the minimum balance."
request_107,1040.77,not_affordable,not_recommended,none,,none,"No eligible payment method from the user's accepted list is safe within the 90-day forecast without breaking the 1,600.00 EUR minimum balance."
request_108,2317.45,not_affordable,not_recommended,none,,none,"No eligible payment method from the user's accepted list is safe within the 90-day forecast without breaking the 24,100.00 ZAR minimum balance."
request_109,556.7,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-03-15,none,"Use the 3-payment installment option (payment_option_307) starting 2024-03-18; each payment keeps the balance above the EUR 1,700.00 minimum."
request_110,22352.0,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use the 3-payment installment option (payment_option_310) starting 2025-08-06; each payment keeps the balance above the ZAR 11,200.00 minimum."
request_111,14245002.75,not_affordable,not_recommended,none,,none,"No eligible payment method from the user's accepted list is safe within the 90-day forecast without breaking the 23,022,800.00 IDR minimum balance."
request_112,258.52,affordable_now,full_payment,2024-06-05:271.70,2024-06-05,reduce_to:event_10400:13,Pay EUR 271.70 on 2024-06-05. This keeps the balance at or above the EUR 500.00 minimum through the 90-day forecast.
request_113,18391.46,affordable_later,wait,2026-10-14:36500,2026-10-14,none,"Wait and pay the full INR 36,500.00 on 2026-10-14, the earliest date the forecast shows it as safe; paying sooner would breach the minimum balance."
request_114,49353.59,affordable_later,wait,2026-02-16:65300,2026-02-16,none,"Wait and pay the full INR 65,300.00 on 2026-02-16, the earliest date the forecast shows it as safe; paying sooner would breach the minimum balance."
request_115,14552.2,affordable_later,wait,2024-11-13:80500,2024-11-13,none,"Wait and pay the full INR 80,500.00 on 2024-11-13, the earliest date the forecast shows it as safe; paying sooner would breach the minimum balance."
request_116,13639.77,not_affordable,not_recommended,none,,none,"No eligible payment method from the user's accepted list is safe within the 90-day forecast without breaking the 80,300.00 INR minimum balance."
request_117,848.69,affordable_now,full_payment,2026-07-05:880,2026-07-05,reduce_to:event_10878:20.50|stop:event_10833,"Pay EUR 880.00 on 2026-07-05. This keeps the balance at or above the EUR 1,000.00 minimum through the 90-day forecast."
request_118,629.58,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2025-02-16,reduce_to:event_10914:14|stop:event_10912,Use the 3-payment installment option (payment_option_334) starting 2024-12-07; each payment keeps the balance above the EUR 600.00 minimum.
request_119,0.0,not_affordable,not_recommended,none,,none,"No eligible payment method from the user's accepted list is safe within the 90-day forecast without breaking the 151,200.00 INR minimum balance."
request_120,7714000.0,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,"Pay IDR 7,714,000.00 on 2026-04-06. This keeps the balance at or above the IDR 20,050,300.00 minimum through the 90-day forecast."
request_121,633.6,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,Pay USD 633.60 on 2024-03-03. This keeps the balance at or above the USD 800.00 minimum through the 90-day forecast.
request_122,20558000.0,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use the 3-payment installment option (payment_option_347) starting 2025-08-05; each payment keeps the balance above the IDR 12,588,500.00 minimum."
request_123,4076000.0,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,"Pay IDR 4,076,000.00 on 2026-01-07. This keeps the balance at or above the IDR 18,091,200.00 minimum through the 90-day forecast."
request_124,1406.49,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-06-14,none,"Use the 3-payment installment option (payment_option_352) starting 2024-06-11; each payment keeps the balance above the EUR 1,600.00 minimum."
request_125,6468.0,affordable_now,full_payment,2025-11-06:6468,2025-11-06,none,"Pay ZAR 6,468.00 on 2025-11-06. This keeps the balance at or above the ZAR 11,300.00 minimum through the 90-day forecast."
request_126,159600.0,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,"Pay INR 159,600.00 on 2026-07-03. This keeps the balance at or above the INR 129,700.00 minimum through the 90-day forecast."
request_127,0.0,not_affordable,not_recommended,none,,none,"No eligible payment method from the user's accepted list is safe within the 90-day forecast without breaking the 41,000.00 ZAR minimum balance."
request_128,25168.0,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,"Pay ZAR 25,168.00 on 2025-02-07. This keeps the balance at or above the ZAR 42,600.00 minimum through the 90-day forecast."
request_129,110.47,not_affordable,not_recommended,none,,none,No eligible payment method from the user's accepted list is safe within the 90-day forecast without breaking the 800.00 USD minimum balance.
request_130,338.17,affordable_later,wait,2025-01-17:1978.80,2025-01-17,none,"Wait and pay the full USD 1,978.80 on 2025-01-17, the earliest date the forecast shows it as safe; paying sooner would breach the minimum balance."
request_131,1110.68,not_affordable,not_recommended,none,2025-07-25,none,"No eligible payment method from the user's accepted list is safe within the 90-day forecast without breaking the 1,100.00 USD minimum balance."
request_132,345.13,affordable_later,wait,2026-01-16:379.86,2026-01-16,none,"Wait and pay the full USD 379.86 on 2026-01-16, the earliest date the forecast shows it as safe; paying sooner would breach the minimum balance."
request_133,0.0,not_affordable,not_recommended,none,,none,"No eligible payment method from the user's accepted list is safe within the 90-day forecast without breaking the 9,986,200.00 IDR minimum balance."
request_134,4469014.82,affordable_later,wait,2025-08-14:21831000,2025-08-14,none,"Wait and pay the full IDR 21,831,000.00 on 2025-08-14, the earliest date the forecast shows it as safe; paying sooner would breach the minimum balance."
request_135,273.59,affordable_now,full_payment,2026-07-06:304.80,2026-07-06,reduce_to:event_12458:17.50|stop:event_12413,Pay USD 304.80 on 2026-07-06. This keeps the balance at or above the USD 500.00 minimum through the 90-day forecast.
request_136,560.4,affordable_now,full_payment,2024-06-03:560.40,2024-06-03,none,"Pay USD 560.40 on 2024-06-03. This keeps the balance at or above the USD 1,100.00 minimum through the 90-day forecast."
request_137,24928.9,affordable_later,wait,2026-01-13:80100,2026-01-13,none,"Wait and pay the full INR 80,100.00 on 2026-01-13, the earliest date the forecast shows it as safe; paying sooner would breach the minimum balance."
request_138,1054.87,affordable_with_plan,partial_payment,2026-04-07:1054.87|2026-04-14:202.07,2026-04-14,none,"Pay EUR 1,054.87 now and the remaining EUR 202.07 on 2026-04-14, once projected cash flow safely covers it."
request_139,1758.14,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-09-14,none,"Use the 3-payment installment option (payment_option_395) starting 2024-09-07; each payment keeps the balance above the USD 1,500.00 minimum."
request_140,1622.98,not_affordable,not_recommended,none,,none,"No eligible payment method from the user's accepted list is safe within the 90-day forecast without breaking the 21,600.00 ZAR minimum balance."
request_141,17674.24,not_affordable,not_recommended,none,,none,"No eligible payment method from the user's accepted list is safe within the 90-day forecast without breaking the 67,300.00 INR minimum balance."
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,"Pay USD 1,263.60 on 2024-12-05. This keeps the balance at or above the USD 1,700.00 minimum through the 90-day forecast."
request_143,2383.22,affordable_later,wait,2025-07-17:12584,2025-07-17,none,"Wait and pay the full ZAR 12,584.00 on 2025-07-17, the earliest date the forecast shows it as safe; paying sooner would breach the minimum balance."
request_144,224.01,affordable_later,wait,2026-07-16:233.34,2026-07-16,none,"Wait and pay the full USD 233.34 on 2026-07-16, the earliest date the forecast shows it as safe; paying sooner would breach the minimum balance."
request_145,24072.18,affordable_with_plan,installments,2024-03-20:75365.33|2024-04-20:75365.33|2024-05-21:75365.33,2024-05-18,reduce_to:event_13341:2920|reduce_to:event_13409:3335|stop:event_13342,"Use the 3-payment installment option (payment_option_412) starting 2024-03-20; each payment keeps the balance above the INR 155,400.00 minimum."
request_146,14054.86,not_affordable,not_recommended,none,,none,"No eligible payment method from the user's accepted list is safe within the 90-day forecast without breaking the 108,600.00 INR minimum balance."
request_147,0.0,not_affordable,not_recommended,none,,none,No eligible payment method from the user's accepted list is safe within the 90-day forecast without breaking the 900.00 EUR minimum balance.
request_148,7665.48,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-07-14,none,"Use the 3-payment installment option (payment_option_421) starting 2024-06-14; each payment keeps the balance above the ZAR 20,000.00 minimum."
request_149,22039.11,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-11-14,none,"Use the 3-payment installment option (payment_option_424) starting 2025-11-18; each payment keeps the balance above the ZAR 42,100.00 minimum."
request_150,225.79,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-03-19,reduce_to:event_13787:16|stop:event_13785|stop:event_13786,Use the 3-payment installment option (payment_option_427) starting 2026-01-06; each payment keeps the balance above the EUR 700.00 minimum.
request_151,26999000.0,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,"Pay IDR 26,999,000.00 on 2024-09-03. This keeps the balance at or above the IDR 31,633,600.00 minimum through the 90-day forecast."
request_152,11857.81,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-04-15,reduce_to:event_14024:234.30|stop:event_13957|stop:event_13958,"Use the 3-payment installment option (payment_option_433) starting 2025-02-12; each payment keeps the balance above the ZAR 11,900.00 minimum."
request_153,12.42,not_affordable,not_recommended,none,,none,"No eligible payment method from the user's accepted list is safe within the 90-day forecast without breaking the 1,400.00 USD minimum balance."
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,"Use the 3-payment installment option (payment_option_438) starting 2024-12-04; each payment keeps the balance above the EUR 1,300.00 minimum."
request_155,78433.31,not_affordable,not_recommended,none,,none,"No eligible payment method from the user's accepted list is safe within the 90-day forecast without breaking the 56,300.00 INR minimum balance."
request_156,9999.54,affordable_later,wait,2026-06-13:43076,2026-06-13,none,"Wait and pay the full ZAR 43,076.00 on 2026-06-13, the earliest date the forecast shows it as safe; paying sooner would breach the minimum balance."
request_157,5035082.11,affordable_later,wait,2024-04-13:23503000,2024-04-13,none,"Wait and pay the full IDR 23,503,000.00 on 2024-04-13, the earliest date the forecast shows it as safe; paying sooner would breach the minimum balance."
request_158,242600.0,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use the 3-payment installment option (payment_option_449) starting 2025-08-07; each payment keeps the balance above the INR 131,400.00 minimum."
request_159,13398.0,affordable_now,full_payment,2026-01-04:13398,2026-01-04,none,"Pay ZAR 13,398.00 on 2026-01-04. This keeps the balance at or above the ZAR 8,700.00 minimum through the 90-day forecast."
request_160,574.47,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-07-14,none,"Use the 3-payment installment option (payment_option_454) starting 2024-06-13; each payment keeps the balance above the EUR 1,200.00 minimum."
request_161,0.0,not_affordable,not_recommended,none,,none,"No eligible payment method from the user's accepted list is safe within the 90-day forecast without breaking the 23,010,400.00 IDR minimum balance."
request_162,1159061.72,not_affordable,not_recommended,none,,none,"No eligible payment method from the user's accepted list is safe within the 90-day forecast without breaking the 24,161,100.00 IDR minimum balance."
request_163,9656116.25,not_affordable,not_recommended,none,2024-11-13,none,"No eligible payment method from the user's accepted list is safe within the 90-day forecast without breaking the 26,728,700.00 IDR minimum balance."
request_164,27018000.0,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,"Use the 3-payment installment option (payment_option_465) starting 2025-02-11; each payment keeps the balance above the IDR 29,550,500.00 minimum."
request_165,79004.86,affordable_now,full_payment,2026-04-06:80600,2026-04-06,stop:event_15135,"Pay INR 80,600.00 on 2026-04-06. This keeps the balance at or above the INR 95,000.00 minimum through the 90-day forecast."
